arxiv_id,paper_type,period,year,perplexity,alpha_estimate,alpha_ci_half_width,year_alpha_estimate,year_alpha_ci_half_width
2002.00735,regular,pre_llm,2020,69.025146484375,0.011,0.001,,
2001.02332,regular,pre_llm,2020,76.50116729736328,0.011,0.001,,
2001.01047,regular,pre_llm,2020,42.93385696411133,0.011,0.001,,
2001.05296,regular,pre_llm,2020,44.1943473815918,0.011,0.001,,
2001.05139,regular,pre_llm,2020,43.01795959472656,0.011,0.001,,
2001.03844,regular,pre_llm,2020,56.18154525756836,0.011,0.001,,
2001.02836,regular,pre_llm,2020,37.3165283203125,0.011,0.001,,
2001.02107,regular,pre_llm,2020,58.76970291137695,0.011,0.001,,
2001.11164,regular,pre_llm,2020,41.89896011352539,0.011,0.001,,
2001.01989,regular,pre_llm,2020,44.81869888305664,0.011,0.001,,
2001.11701,regular,pre_llm,2020,38.858280181884766,0.011,0.001,,
2001.07786,regular,pre_llm,2020,76.00782775878906,0.011,0.001,,
2001.01167,regular,pre_llm,2020,43.1718635559082,0.011,0.001,,
2002.00754,regular,pre_llm,2020,51.62784957885742,0.011,0.001,,
2001.1177,regular,pre_llm,2020,47.95212173461914,0.011,0.001,,
2001.0383,regular,pre_llm,2020,59.73354721069336,0.011,0.001,,
2001.04063,regular,pre_llm,2020,58.39265823364258,0.011,0.001,,
2001.10169,regular,pre_llm,2020,44.88618850708008,0.011,0.001,,
2001.11383,regular,pre_llm,2020,42.771263122558594,0.011,0.001,,
2001.03708,regular,pre_llm,2020,63.886329650878906,0.011,0.001,,
2001.0774,regular,pre_llm,2020,56.7908821105957,0.011,0.001,,
2002.0073,regular,pre_llm,2020,35.45167541503906,0.011,0.001,,
2001.08728,regular,pre_llm,2020,37.14197540283203,0.011,0.001,,
2001.05326,regular,pre_llm,2020,55.54144287109375,0.011,0.001,,
2002.00037,regular,pre_llm,2020,45.69164276123047,0.011,0.001,,
2001.07574,regular,pre_llm,2020,58.514183044433594,0.011,0.001,,
2001.08051,regular,pre_llm,2020,50.3231086730957,0.011,0.001,,
2001.00295,regular,pre_llm,2020,44.332542419433594,0.011,0.001,,
2001.0732,regular,pre_llm,2020,82.86280059814453,0.011,0.001,,
2001.09466,regular,pre_llm,2020,75.96959686279297,0.011,0.001,,
2001.01863,regular,pre_llm,2020,27.177207946777344,0.011,0.001,,
2001.06381,regular,pre_llm,2020,36.274471282958984,0.011,0.001,,
2001.11285,regular,pre_llm,2020,80.73009490966797,0.011,0.001,,
2001.03216,regular,pre_llm,2020,58.1358642578125,0.011,0.001,,
2001.09879,regular,pre_llm,2020,35.1495246887207,0.011,0.001,,
2001.01589,regular,pre_llm,2020,43.9371337890625,0.011,0.001,,
2001.11899,regular,pre_llm,2020,67.5886459350586,0.011,0.001,,
2001.10106,regular,pre_llm,2020,62.595802307128906,0.011,0.001,,
2001.07676,regular,pre_llm,2020,67.76138305664062,0.011,0.001,,
2001.01447,regular,pre_llm,2020,52.755821228027344,0.011,0.001,,
2001.01269,regular,pre_llm,2020,59.141204833984375,0.011,0.001,,
2001.03632,review,pre_llm,2020,48.1949462890625,0.066,0.009,,
2001.07209,regular,pre_llm,2020,63.03325271606445,0.011,0.001,,
2001.03278,regular,pre_llm,2020,57.845489501953125,0.011,0.001,,
2001.05954,regular,pre_llm,2020,45.67951965332031,0.011,0.001,,
2001.05609,regular,pre_llm,2020,29.61460304260254,0.011,0.001,,
2001.02524,regular,pre_llm,2020,57.56430435180664,0.011,0.001,,
2001.00891,regular,pre_llm,2020,59.31990432739258,0.011,0.001,,
2001.11857,regular,pre_llm,2020,56.74943542480469,0.011,0.001,,
2001.05292,regular,pre_llm,2020,47.89775466918945,0.011,0.001,,
2001.01565,regular,pre_llm,2020,52.33525466918945,0.011,0.001,,
2001.11458,regular,pre_llm,2020,42.23920822143555,0.011,0.001,,
2001.06629,regular,pre_llm,2020,61.36451721191406,0.011,0.001,,
2001.02885,regular,pre_llm,2020,39.24626541137695,0.011,0.001,,
2001.03361,regular,pre_llm,2020,40.96196365356445,0.011,0.001,,
2001.05285,regular,pre_llm,2020,32.320457458496094,0.011,0.001,,
2001.06206,regular,pre_llm,2020,66.49256134033203,0.011,0.001,,
2001.05714,regular,pre_llm,2020,34.81511688232422,0.011,0.001,,
2001.05687,regular,pre_llm,2020,32.57344436645508,0.011,0.001,,
2001.00725,regular,pre_llm,2020,71.29876708984375,0.011,0.001,,
2001.07234,regular,pre_llm,2020,59.457725524902344,0.011,0.001,,
2002.00738,regular,pre_llm,2020,36.53469467163086,0.011,0.001,,
2001.07418,regular,pre_llm,2020,28.56233024597168,0.011,0.001,,
2001.10175,regular,pre_llm,2020,45.36576843261719,0.011,0.001,,
2001.05297,regular,pre_llm,2020,41.84977722167969,0.011,0.001,,
2001.11003,regular,pre_llm,2020,62.39385223388672,0.011,0.001,,
2001.02091,regular,pre_llm,2020,65.51811981201172,0.011,0.001,,
2001.01582,review,pre_llm,2020,44.21043014526367,0.066,0.009,,
2002.00757,regular,pre_llm,2020,119.15572357177734,0.011,0.001,,
2001.11381,regular,pre_llm,2020,151.2537078857422,0.011,0.001,,
2001.05286,regular,pre_llm,2020,40.396854400634766,0.011,0.001,,
2001.0238,regular,pre_llm,2020,53.86615753173828,0.011,0.001,,
2001.0821,regular,pre_llm,2020,40.307861328125,0.011,0.001,,
2001.03131,review,pre_llm,2020,53.14130401611328,0.066,0.009,,
2001.09415,regular,pre_llm,2020,66.65824890136719,0.011,0.001,,
2001.11453,regular,pre_llm,2020,63.42048263549805,0.011,0.001,,
2001.03765,regular,pre_llm,2020,68.8456039428711,0.011,0.001,,
2001.11136,regular,pre_llm,2020,39.31565475463867,0.011,0.001,,
2001.02943,regular,pre_llm,2020,32.87763977050781,0.011,0.001,,
2002.00759,regular,pre_llm,2020,64.12332153320312,0.011,0.001,,
2001.10179,regular,pre_llm,2020,40.134456634521484,0.011,0.001,,
2001.07331,regular,pre_llm,2020,25.088306427001953,0.011,0.001,,
2001.05136,regular,pre_llm,2020,49.66962432861328,0.011,0.001,,
2001.05672,regular,pre_llm,2020,39.362953186035156,0.011,0.001,,
2001.08764,regular,pre_llm,2020,39.10995864868164,0.011,0.001,,
2001.09907,regular,pre_llm,2020,78.28382873535156,0.011,0.001,,
2002.12591,regular,pre_llm,2020,51.685909271240234,0.011,0.001,,
2002.12699,regular,pre_llm,2020,77.25938415527344,0.011,0.001,,
2002.00835,regular,pre_llm,2020,65.93290710449219,0.011,0.001,,
2002.04095,regular,pre_llm,2020,87.12499237060547,0.011,0.001,,
2002.00293,regular,pre_llm,2020,46.5374641418457,0.011,0.001,,
2002.06644,regular,pre_llm,2020,78.0146713256836,0.011,0.001,,
2002.07972,regular,pre_llm,2020,38.111000061035156,0.011,0.001,,
2002.05417,regular,pre_llm,2020,65.40266418457031,0.011,0.001,,
2002.01127,regular,pre_llm,2020,74.95298767089844,0.011,0.001,,
2002.03536,regular,pre_llm,2020,51.34006118774414,0.011,0.001,,
2002.10348,regular,pre_llm,2020,40.27097702026367,0.011,0.001,,
2002.12097,regular,pre_llm,2020,52.93976974487305,0.011,0.001,,
2002.12854,regular,pre_llm,2020,42.428462982177734,0.011,0.001,,
2002.12558,regular,pre_llm,2020,29.66179656982422,0.011,0.001,,
2002.10959,regular,pre_llm,2020,52.907833099365234,0.011,0.001,,
2002.09634,regular,pre_llm,2020,31.83338165283203,0.011,0.001,,
2002.07845,regular,pre_llm,2020,46.992366790771484,0.011,0.001,,
2002.10957,regular,pre_llm,2020,37.21773147583008,0.011,0.001,,
2002.09419,regular,pre_llm,2020,66.87374877929688,0.011,0.001,,
2002.02353,regular,pre_llm,2020,68.20588684082031,0.011,0.001,,
2002.05407,regular,pre_llm,2020,28.258886337280273,0.011,0.001,,
2002.02224,regular,pre_llm,2020,45.55418395996094,0.011,0.001,,
2002.0425,regular,pre_llm,2020,27.248308181762695,0.011,0.001,,
2002.1026,regular,pre_llm,2020,66.76981353759766,0.011,0.001,,
2002.09836,regular,pre_llm,2020,60.1496467590332,0.011,0.001,,
2002.11402,regular,pre_llm,2020,108.06208038330078,0.011,0.001,,
2002.10416,regular,pre_llm,2020,31.668169021606445,0.011,0.001,,
2002.08307,regular,pre_llm,2020,37.024627685546875,0.011,0.001,,
2002.10903,regular,pre_llm,2020,41.1938362121582,0.011,0.001,,
2002.12804,regular,pre_llm,2020,38.554988861083984,0.011,0.001,,
2002.07458,regular,pre_llm,2020,69.36297607421875,0.011,0.001,,
2002.03604,regular,pre_llm,2020,55.29446792602539,0.011,0.001,,
2002.11143,regular,pre_llm,2020,49.06465148925781,0.011,0.001,,
2002.09646,regular,pre_llm,2020,41.720855712890625,0.011,0.001,,
2002.1254,regular,pre_llm,2020,80.76366424560547,0.011,0.001,,
2002.0132,regular,pre_llm,2020,43.91109085083008,0.011,0.001,,
2002.00481,regular,pre_llm,2020,64.11237335205078,0.011,0.001,,
2002.01454,regular,pre_llm,2020,52.22190475463867,0.011,0.001,,
2002.02649,regular,pre_llm,2020,35.09680938720703,0.011,0.001,,
2002.02734,regular,pre_llm,2020,48.685638427734375,0.011,0.001,,
2002.10851,regular,pre_llm,2020,44.50129699707031,0.011,0.001,,
2003.04996,regular,pre_llm,2020,52.15227508544922,0.011,0.001,,
2002.07767,regular,pre_llm,2020,46.881778717041016,0.011,0.001,,
2002.07526,review,pre_llm,2020,32.604515075683594,0.066,0.009,,
2002.06484,regular,pre_llm,2020,52.812652587890625,0.011,0.001,,
2003.00166,regular,pre_llm,2020,33.09595489501953,0.011,0.001,,
2002.10931,regular,pre_llm,2020,71.4374771118164,0.011,0.001,,
2002.02154,regular,pre_llm,2020,43.186317443847656,0.011,0.001,,
2002.05829,regular,pre_llm,2020,46.74774169921875,0.011,0.001,,
2002.0888,regular,pre_llm,2020,37.431373596191406,0.011,0.001,,
2002.00163,regular,pre_llm,2020,76.6571273803711,0.011,0.001,,
2002.06851,regular,pre_llm,2020,37.49974060058594,0.011,0.001,,
2002.1071,regular,pre_llm,2020,37.7740478515625,0.011,0.001,,
2003.00353,regular,pre_llm,2020,70.52845764160156,0.011,0.001,,
2002.09084,regular,pre_llm,2020,34.29329299926758,0.011,0.001,,
2003.04985,regular,pre_llm,2020,76.5360107421875,0.011,0.001,,
2002.12549,regular,pre_llm,2020,49.7447395324707,0.011,0.001,,
2002.10829,regular,pre_llm,2020,35.82403564453125,0.011,0.001,,
2002.06714,regular,pre_llm,2020,56.90644454956055,0.011,0.001,,
2002.02955,regular,pre_llm,2020,41.41899871826172,0.011,0.001,,
2002.08087,regular,pre_llm,2020,59.16817092895508,0.011,0.001,,
2002.11506,regular,pre_llm,2020,62.75721740722656,0.011,0.001,,
2002.12328,regular,pre_llm,2020,56.614131927490234,0.011,0.001,,
2002.01196,regular,pre_llm,2020,55.960166931152344,0.011,0.001,,
2002.09616,regular,pre_llm,2020,58.322227478027344,0.011,0.001,,
2002.08899,regular,pre_llm,2020,42.22561264038086,0.011,0.001,,
2002.09543,regular,pre_llm,2020,39.03973388671875,0.011,0.001,,
2002.04678,regular,pre_llm,2020,45.55875778198242,0.011,0.001,,
2002.12327,review,pre_llm,2020,52.28853225708008,0.066,0.009,,
2002.06546,regular,pre_llm,2020,48.103633880615234,0.011,0.001,,
2002.1021,regular,pre_llm,2020,52.36227035522461,0.011,0.001,,
2002.11893,regular,pre_llm,2020,50.58829116821289,0.011,0.001,,
2002.06424,regular,pre_llm,2020,34.949989318847656,0.011,0.001,,
2002.01359,review,pre_llm,2020,52.629241943359375,0.066,0.009,,
2002.01145,regular,pre_llm,2020,39.52378845214844,0.011,0.001,,
2002.03084,regular,pre_llm,2020,37.22248840332031,0.011,0.001,,
2002.0314,regular,pre_llm,2020,52.4390983581543,0.011,0.001,,
2002.00317,regular,pre_llm,2020,57.5934944152832,0.011,0.001,,
2002.09637,regular,pre_llm,2020,41.94213104248047,0.011,0.001,,
2002.04165,regular,pre_llm,2020,64.63804626464844,0.011,0.001,,
2002.12344,regular,pre_llm,2020,72.34573364257812,0.011,0.001,,
2002.1191,regular,pre_llm,2020,59.94735336303711,0.011,0.001,,
2002.11643,regular,pre_llm,2020,107.70398712158203,0.011,0.001,,
2002.07982,regular,pre_llm,2020,50.09031295776367,0.011,0.001,,
2002.01824,regular,pre_llm,2020,47.6231689453125,0.011,0.001,,
2002.03149,regular,pre_llm,2020,85.36043548583984,0.011,0.001,,
2002.00181,regular,pre_llm,2020,58.45163345336914,0.011,0.001,,
2002.0962,regular,pre_llm,2020,26.720178604125977,0.011,0.001,,
